"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Farmácia (Bacharelado)","0.625","0.625","-107.520","-107.520","-","-","-137.380","-91.000","-","-","-197.055","5.325","-","-","-42.095","67.360","-","-","31.300","175.065"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Filosofia (Bacharelado/Licenciatura)","-39.790","-39.790","-146.565","-146.565","-","-","-86.170","19.475","-","-","-","-","-","-","-","-","-","-","-93.795","258.045"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Filosofia (Licenciatura)","-","-","-58.200","-58.200","-","-","-","-","-","-","-9.325","-9.325","-","-","-","-","-","-","-18.295","183.810"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Física (Bacharelado)","-","-","-","-","-","-","-88.735","59.340","-","-","-55.510","-55.510","-","-","-29.920","-29.920","-","-","48.985","187.045"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Geofísica (Bacharelado)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-161.155","69.035"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Geografia (Bacharelado/Licenciatura)","-30.675","-30.675","-","-","-","-","-166.605","-139.590","-","-","-15.895","14.300","-","-","-7.830","-7.830","-","-","-16.090","153.845"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Geologia (Bacharelado)","-","-","-35.025","-35.025","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-80.955","262.090"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Gestão de Agronegócio (Bacharelado)","-","-","-","-","-","-","-99.600","-99.600","-","-","-","-","-","-","-94.805","-94.805","-","-","-246.020","70.140"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Gestão de Políticas Públicas (Bacharelado)","145.965","145.965","-1.285","-1.285","-","-","-131.760","-16.580","-","-","-125.635","-125.635","-","-","-174.575","-20.660","-","-","-62.385","205.090"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","História (Bacharelado/Licenciatura)","47.490","47.490","-101.105","-34.635","-","-","-90.700","30.310","-","-","-25.280","95.315","-","-","-41.225","57.165","-","-","113.095","218.980"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","História (Licenciatura)","-0.460","-0.460","-","-","-","-","-","-","-","-","-","-","-","-","-87.695","23.640","-","-","-56.755","94.505"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Jornalismo (Bacharelado)","31.090","31.090","-13.705","39.335","-","-","37.110","37.110","-","-","-54.710","21.490","-","-","87.360","87.360","-","-","163.945","270.850"
